127.0.0.1 - - [22/Apr/2024:17:30:16 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [22/Apr/2024:17:30:17 +0900] "GET /mini_project/index.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Apr/2024:17:30:17 +0900] "GET /mini_project/LoginCheck;jsessionid=5410BAB36D0429A51481DDF56D71CE5C HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Apr/2024:17:30:17 +0900] "GET /mini_project/members/MainForm.jsp HTTP/1.1" 200 26479
0:0:0:0:0:0:0:1 - - [22/Apr/2024:17:30:17 +0900] "GET /mini_project/style/css/flaticon.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2024:17:30:17 +0900] "GET /mini_project/style/images/testroom-1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2024:17:30:17 +0900] "GET /mini_project/util/MainFormCalendar.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2024:17:30:17 +0900] "GET /mini_project/style/images/testroom-2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2024:17:30:17 +0900] "GET /mini_project/style/css/style.css HTTP/1.1" 200 247568
0:0:0:0:0:0:0:1 - - [22/Apr/2024:17:30:17 +0900] "GET /mini_project/style/images/testroom-4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2024:17:30:17 +0900] "GET /mini_project/style/images/testroom-3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2024:17:30:17 +0900] "GET /mini_project/style/images/testroom-5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2024:17:30:17 +0900] "GET /mini_project/style/images/testroom-6.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2024:17:30:18 +0900] "GET /mini_project/style/images/some.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2024:17:30:18 +0900] "GET /mini_project/data/Deluxe-1.jpg HTTP/1.1" 304 -
