127.0.0.1 - - [19/Jul/2024:11:37:22 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [19/Jul/2024:11:37:23 +0900] "GET /mini_project/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Jul/2024:11:37:23 +0900] "GET /mini_project/LoginCheck;jsessionid=CC50722033B7ED80C7C1B849F38714C7 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Jul/2024:11:37:24 +0900] "GET /mini_project/members/MainForm.jsp HTTP/1.1" 200 26672
0:0:0:0:0:0:0:1 - - [19/Jul/2024:11:37:24 +0900] "GET /mini_project/style/images/testroom-1.jpg HTTP/1.1" 200 203813
0:0:0:0:0:0:0:1 - - [19/Jul/2024:11:37:24 +0900] "GET /mini_project/style/css/style.css HTTP/1.1" 200 247568
0:0:0:0:0:0:0:1 - - [19/Jul/2024:11:37:24 +0900] "GET /mini_project/style/images/testroom-2.jpg HTTP/1.1" 200 407738
0:0:0:0:0:0:0:1 - - [19/Jul/2024:11:37:24 +0900] "GET /mini_project/style/css/flaticon.css HTTP/1.1" 200 1308
0:0:0:0:0:0:0:1 - - [19/Jul/2024:11:37:24 +0900] "GET /mini_project/util/MainFormCalendar.js HTTP/1.1" 200 3175
0:0:0:0:0:0:0:1 - - [19/Jul/2024:11:37:24 +0900] "GET /mini_project/style/images/testroom-3.jpg HTTP/1.1" 200 332919
0:0:0:0:0:0:0:1 - - [19/Jul/2024:11:37:24 +0900] "GET /mini_project/style/images/testroom-4.jpg HTTP/1.1" 200 170608
0:0:0:0:0:0:0:1 - - [19/Jul/2024:11:37:24 +0900] "GET /mini_project/style/images/testroom-5.jpg HTTP/1.1" 200 422070
0:0:0:0:0:0:0:1 - - [19/Jul/2024:11:37:24 +0900] "GET /mini_project/style/images/testroom-6.jpg HTTP/1.1" 200 231039
0:0:0:0:0:0:0:1 - - [19/Jul/2024:11:37:24 +0900] "GET /mini_project/data/Superior-1.jpg HTTP/1.1" 200 183167
0:0:0:0:0:0:0:1 - - [19/Jul/2024:11:37:24 +0900] "GET /mini_project/style/images/some.jpg HTTP/1.1" 200 213685
0:0:0:0:0:0:0:1 - - [19/Jul/2024:11:37:24 +0900] "GET /mini_project/data/Deluxe-1.jpg HTTP/1.1" 200 254352
0:0:0:0:0:0:0:1 - - [19/Jul/2024:11:37:24 +0900] "GET /mini_project/data/GrandDeluxe-1.jpg HTTP/1.1" 200 194824
0:0:0:0:0:0:0:1 - - [19/Jul/2024:11:37:24 +0900] "GET /mini_project/data/CornerSuite-1.jpg HTTP/1.1" 200 175309
0:0:0:0:0:0:0:1 - - [19/Jul/2024:11:37:24 +0900] "GET /mini_project/data/JuniorSuite-1.jpg HTTP/1.1" 200 193063
0:0:0:0:0:0:0:1 - - [19/Jul/2024:11:37:24 +0900] "GET /mini_project/data/SuperiorSuite-1.jpg HTTP/1.1" 200 222937
0:0:0:0:0:0:0:1 - - [19/Jul/2024:11:37:24 +0900] "GET /mini_project/style/fonts/flaticon/font/Flaticon.woff HTTP/1.1" 200 2848
0:0:0:0:0:0:0:1 - - [19/Jul/2024:11:37:25 +0900] "GET /favicon.ico HTTP/1.1" 404 818
